review,human_summary
"This movie will change you, as some have commented. It will bring you to a disgusting low. Definitely skip it, or you'll be sorry you didn't.It's a sickening wretchingly vile voyueristic wannabe false glorification.Skip it. In fact be happy to skip it. Sometimes I think we have a big pile of juvenile retards on IMDb, that only hope to vote for any movie along the lines of it's inherent jerry springer qualities and the judgement comes as a message about how low and worthless it can get.This movie is not entertaining, it is not nice, it is not realistic, it is racist, degrading, and stupid.Don't waste your money, your time, or your life.","Skip this movie if you can, it is not worth your time!"
Pulp Fiction is an amazing movie filled with great dialogue and violence. Highly recommend watching it no matter what genre you like. One of the best Tarantino films ever. Go watch it,"Highly recommended to watch, best Tarantino movie."
"Pulp fiction, the magnum opus of Quentin Tarantino, is an absolute visual treat. The exemplary usage of nonlinear story-telling will leave the viewers open mouthed. Backed up by some very powerful performances by the cast, the film has become a benchmark for all black comedy films.The screenplay by Tarantino artistically narrates the incidents concerning a particularly interesting group of people. The film is replete with iconic moments, like the monologue perfectly delivered by Jules Winnfield (Samuel Jackson), the twist dance routine of Mia Wallace (Uma Thurman) and Vincent Vega (John Travolta) and the Mexican standoff in a diner. However, this masterpiece is not recommended for the faint- hearted, as a lot of R - rated violent scenes of great detail are interspersed in the film.The soundtrack has been compiled quite tastefully. 'Misirlou' sets a funky tone for the film during the opening credits. Structurally, the film is divided into seven sequences, which have connected stories. As expected, the cameo from Tarantino himself as Jimmie, the distraught husband in arguably the most entertaining part of the film - The Bonnie situation - proves to be the cherry on the cake.","A spectecular, seminal film to watch - but be aware that it has detailed, violent scenes."
"The movie that shot director Quentin Tarantino into popularity, pulp fiction still stands as his greatest movie and one of the best movies ever created.The film follows multiple inter-connecting plot lines: Samuel L Jackson and John Trovolta play two hit men searching for a stolen briefcase, Uma Thurman plays the boss mans wife out on a date with Trovolta, Bruce Willis plays a boxer on the run from gangsters, ands Tim Roth and Amanda Plummer play a couple robbing a diner. The plot is structured brilliantly and is told out of order which makes things even more interesting.The film features most Tarantino trademarks, including his normal chunky dialogue, with some of the most quotable lines in any film ever contained here. The films also not shy on action and there's loads of surprises throughout the movie(although I wont spoil anything).Acting wise, pulp fiction features one of the greatest casts in film history. Jackson gives what is undoubtedly the best performance of his career as the bible spouting hit man, while Trovolta gives another great performance in the role that resurrected his career. Thurman also acts brilliantly as the sexy but mysterious wife to the main mafia boss. The supporting cast is strong with Harvey Keitel playing the gangster expert and even Tarantino himself has a small but hilarious role.But thats not the only reason PF is so great, its everything about it. The soundtrack is classic Tarantino with tons of pop culture tunes used to add to the story. While the camera work is some of the best since the films release. And the film just keeps on giving, from its smart opening scene which carries the whole movie, to its hilarious middle acts, to its hugely satisfying conclusion.As it stands, pulp fiction is still one of the funniest, darkest, most enjoyable and most creative films ever. If you haven't seen the film yet then I can't recommend enough you go out and watch it as soon as you can. A true classic.","One of the best movies ever, with brilliant plot and dialogues."
"When I watched pulp fiction for the first time I didn't like it since I didn't know what to expect
and I entirely focused only on the story-line but after a repeated view I just fell in love with this movie I ain't got mich to say about this film since everyone said about its originality,non linear story yelling and its masterful screenplay.All I can say is the movie is worth the love and the appreciation it got and it is one of the best movies ever made.",You may have to watch this movie multiple times to fully appreciate it.
"absolutely fantastic music, and directorial genius, anyone who thinks otherwise obviously did not understand it. Witty dialogue and intelligent storyline and definet for true movie lovers, fantastic script with impeccable timing and well acted, a truly incredible movie. an unpredictable storyline that will take the viewer by surprise, a twisted and juggled plot to leave you thinking about the movie. watching this movie will leave you wanting more of tarentino's writing and directorial work, ( see reservoir dogs, kill bill etc). this movie will make you think and is not for the faint hearted and does not involve any seedy special effect to draw attention away from this impeccably written story and nothing else to say except this movie deserves full marks in every category",Fantastic in all aspects - those who do not like it do not understand it.
This film is simply pure Art. Something to just watch and indulge in. It's one of those art pieces that never get boring. Tarantino refuses to show any flaws in this film. Cinema at it's peak.,A piece of art that never gets boring.
"Hands down some of the best acting and directing in this film! I love how it all came together, the editing matched the theme and some times made you confused about what was going on.",Excellent actors and director with some very clever editing.
"In a diner, a man and a woman who call each other Pumpkin and Honey Bunny eat breakfast in a booth. Honey Bunny teases Pumpkin for not wanting to commit armed robberies anymore, and Pumpkin explains that robbing the diner would be better than robbing convenience stores or banks. She agrees, and the two leap to their feet and draw their weapons, before the opening credits roll.Across town, two men in suits named Vincent and Jules ride in a car discussing Europe and fast food. Jules tells Vincent that Marsellus, their boss, allegedly had a man thrown off a balcony for massaging his wife Mia's feet, who Vincent has been instructed to take out to dinner. They argue about the implications of foot massages, before storming an apartment with three men inside. Jules kills one, and recites Ezekiel 25:17 before killing another, named Brett. Vincent retrieves a briefcase, the contents of which glow, from a kitchen cabinet.In a bar, Marsellus gives an envelope full of cash to a boxer named Butch, bribing him to throw his next match. Vincent and Jules, now wearing tee shirts, enter the bar, and Butch has a brief exchange with Vincent on his way out.
In the following scene, Vincent buys heroin from his drug dealer, named Lance, and talks briefly to his girlfriend Jody. After buying three grams of heroin, Vincent shoots up and heads to Mia's house. Mia does cocaine in the bathroom while Vincent fixes himself a drink. They head to a restaurant named Jackrabbit Slim's, where they talk about Mia's failed television pilot and the foot massage rumor, which Mia denies. Mia forces Vincent to participate in a twist contest, which they win.Back at Mia's house, while Vincent uses the bathroom, Mia mistakes his heroin for cocaine and snorts it, falling unconscious. A panicked Vincent rushes her to Lance's house, although Lance is reluctant to help. Vincent is able to successfully revive her with an adrenaline shot straight to the heart. At the end of the night, Mia tells Vincent a joke from her television pilot, which she previously refused to divulge, and the two agree to keep the night's events a secret.A man named Captain Koons visits Butch as a child, giving him a gold watch that is a family heirloom. As an adult, Butch kills his opponent in a boxing match, rather than purposely lose as Marsellus wanted. Butch escapes in a cab driven by a woman named Esmeralda, and calls a bookie named Scottie who plans to collect Butch's earnings. Meanwhile, Marsellus orders that Butch be killed. At a nearby motel, Butch's girlfriend Fabienne waits for him, and the two talk and have sex. The next morning, Butch realizes his gold watch is missing, and angrily leaves the motel in search of it.Butch cautiously returns to his apartment, and initially finds no one there. He retrieves the watch and notices a gun on the counter. He hears the toilet flush, and kills the man who emerges from the bathroom, which turns out to be Vincent. Butch leaves and is spotted by Marsellus at a stoplight. Butch rams him with his car, and an injured Marsellus chases an injured Butch until both men are subdued inside a nearby pawn shop by the owner, named Maynard.Butch and Marsellus awaken in the pawn shop basement, where Maynard has bound and gagged them. A man named Zed shows up, who orders Maynard to get ""the Gimp,"" a man in a full-body bondage suit who sleeps in a trunk. Zed drags Marsellus into another room to be raped while Maynard watches, and Butch manages to break free. Butch is about to flee when he hears Marsellus's cries and instead retrieves a katana sword and ambushes the men, killing Maynard. Now freed, Marsellus shoots Zed in the crotch, and tells Butch that the men are even, as long as Butch leaves town and never tells anyone about the incident. Butch rides Zed's chopper motorcycle back to the motel, and he and Fabienne ride away together.The film flashes back to the scene where Jules recites Ezekiel 25:17, this time from the perspective of an armed man hiding in the bathroom. After Jules kills Brett, the man runs out and fires wildly, miraculously missing Jules and Vincent with his entire clip. Jules and Vincent kill him, and Jules calls the event an act of ""divine intervention."" The two take Marvin, the only surviving man in the apartment, with them, and leave. In the car, the men continue debating ""divine intervention,"" and Jules pledges to give up his life of crime. Vincent accidentally shoots Marvin in the face, killing him. Jules calls a nearby friend named Jimmie, and they head to his house to deal with the cleanup.
At Jimmie's house, Jules calls Marsellus for help, who arranges for a man named Winston Wolfe to come over and help fix the situation. Jimmie tells the men they have ninety minutes before his wife Bonnie arrives home. Wolfe arrives ten minutes later and instructs Jules and Vincent to wipe down the car upholstery. They place Jimmie's blankets over the seat, and Wolfe hoses a naked Jules and Vincent down in the backyard, before giving them old tee shirts to wear. They follow Wolfe to a nearby auto shop, where the car is destroyed. Wolfe introduces Jules and Vincent to his girlfriend Raquel on his way out of the auto shop, and then leaves.Jules and Vincent decide to get breakfast at the same diner that Pumpkin and Honey Bunny are about to rob in the first scene. Vincent goes to the bathroom just before Pumpkin and Honey Bunny draw their guns. When Pumpkin demands Jules's wallet and the briefcase, Jules draws his weapon, and explains to Pumpkin that he now understands the true meaning of Ezekiel 25:17, and wants to find a non-violent solution. Vincent emerges from the bathroom, resulting in a Mexican standoff. Jules successfully de-escalates the situation, and he and Vincent leave the diner with the briefcase in hand.","Interwoven tales of crime, redemption and chaos in 1990s LA."
"Every movie has at least one person who doesn't like it just as every great movie has at least 1 person who does not enjoy the film, this film not the exception that proves the rule but rather a text book example.  Warning: not everyone will love this movie.  That aside, the rest of you will hold this movie next to such timeless classics as The Godfather Part I and The Usual Suspects, this isn't a ""One-hit Wonder,"" Quentin Tarantino has proven himself perhaps as the best director of our time, second to Francis Ford Coppola, maybe.  No, Pulp Fiction is a movie that doesn't rely on special effects or hype to sell as does many movies such as Lord of The Rings. This movie is real.  The monolog delivered by John Travolta in Swordfish applies to this movie: no moronic sentences, no bad acting, and a story seemingly flawless.  Yes this movie deserves to be compared to The Godfather Part I, and buy the DVD.",A great movie that not everyone will love.
